,EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_LAT_deg,OMNI_LONG_deg,OMNI_MAG_AVG_nT,OMNI_SPEED_kms,OMNI_DENSITY_Ncc,EPOCH_TIME__yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_MAG_AVG_nt,ARTEMIS_DENSITY_Ncc,ARTEMIS_SPEED_kms,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG,new_time,Time_offset_hours,LAT_DIFF_deg,LONG_DIFF_deg,SCALED_ARTEMIS_DENSITY,SCALED_ARTEMIS_MAG_AVG
75,2017-03-20 12:00:00+00:00,-7.1,103.0,3.6,316.0,11.5,2017-03-20 13:00:00+00:00,3.6166666666666667,10.4,303.7333333333333,1.0,-7.0,103.79999999999997,2017-03-20 12:00:00+00:00,1,0.09999999999999964,0.7999999999999687,10.4,3.6166666666666667
76,2017-03-20 13:00:00+00:00,-7.1,103.1,4.1,313.0,11.9,2017-03-20 14:00:00+00:00,4.211428571428572,10.37142857142857,299.5571428571429,1.0,-7.0,103.79999999999997,2017-03-20 13:00:00+00:00,1,0.09999999999999964,0.6999999999999744,10.37142857142857,4.211428571428572
77,2017-03-20 14:00:00+00:00,-7.1,103.1,4.8,311.0,12.0,2017-03-20 15:00:00+00:00,3.7866666666666666,8.785,307.9666666666667,1.0,-7.0,103.79999999999997,2017-03-20 14:00:00+00:00,1,0.09999999999999964,0.6999999999999744,8.785,3.7866666666666666
78,2017-03-20 15:00:00+00:00,-7.1,103.2,3.4,314.0,10.8,2017-03-20 16:00:00+00:00,3.0485714285714276,8.838571428571427,311.8,1.0,-7.0,103.79999999999997,2017-03-20 15:00:00+00:00,1,0.09999999999999964,0.5999999999999659,8.838571428571427,3.0485714285714276
79,2017-03-20 16:00:00+00:00,-7.1,103.2,3.8,317.0,10.6,2017-03-20 17:00:00+00:00,4.108333333333333,8.26,310.2666666666667,1.0,-7.0,103.79999999999997,2017-03-20 16:00:00+00:00,1,0.09999999999999964,0.5999999999999659,8.26,4.108333333333333
80,2017-03-20 17:00:00+00:00,-7.1,103.2,3.9,314.0,9.5,2017-03-20 18:00:00+00:00,3.155714285714286,8.445714285714287,309.2,1.0,-7.0,103.79999999999997,2017-03-20 17:00:00+00:00,1,0.09999999999999964,0.5999999999999659,8.445714285714287,3.155714285714286
81,2017-03-20 18:00:00+00:00,-7.1,103.3,3.1,317.0,9.9,2017-03-20 19:00:00+00:00,4.065714285714286,7.564285714285715,312.1285714285714,1.0,-7.0,103.79999999999997,2017-03-20 18:00:00+00:00,1,0.09999999999999964,0.4999999999999716,7.564285714285715,4.065714285714286
82,2017-03-20 19:00:00+00:00,-7.1,103.3,4.4,318.0,9.2,2017-03-20 20:00:00+00:00,3.8688235294117637,8.159411764705885,310.65882352941173,1.0,-7.0,103.80000000000007,2017-03-20 19:00:00+00:00,1,0.09999999999999964,0.500000000000071,8.159411764705885,3.8688235294117637
83,2017-03-20 20:00:00+00:00,-7.1,103.4,3.9,317.0,9.6,2017-03-20 21:00:00+00:00,3.6534615384615394,8.05,315.7346153846153,1.0,-7.0,103.8000000000001,2017-03-20 20:00:00+00:00,1,0.09999999999999964,0.40000000000009095,8.05,3.6534615384615394
84,2017-03-20 21:00:00+00:00,-7.1,103.4,3.8,320.0,9.3,2017-03-20 22:00:00+00:00,3.9866666666666664,7.610370370370369,318.0111111111112,1.0,-7.0,103.8000000000001,2017-03-20 21:00:00+00:00,1,0.09999999999999964,0.40000000000009095,7.610370370370369,3.9866666666666664
85,2017-03-20 22:00:00+00:00,-7.1,103.4,4.0,324.0,8.9,2017-03-20 23:00:00+00:00,4.2615384615384615,9.819615384615386,330.9269230769232,1.0,-7.0,103.8000000000001,2017-03-20 22:00:00+00:00,1,0.09999999999999964,0.40000000000009095,9.819615384615386,4.2615384615384615
86,2017-03-20 23:00:00+00:00,-7.1,103.5,4.3,339.0,12.0,2017-03-21 00:00:00+00:00,5.095333333333334,10.615333333333336,330.6666666666666,1.0,-7.0,104.80000000000004,2017-03-20 23:00:00+00:00,1,0.09999999999999964,1.3000000000000398,10.615333333333336,5.095333333333334
90,2017-03-21 03:00:00+00:00,-7.0,103.7,9.5,372.0,27.6,2017-03-21 04:00:00+00:00,11.837500000000002,19.16,361.775,1.0,-7.0,104.79999999999998,2017-03-21 03:00:00+00:00,1,0.0,1.09999999999998,19.16,11.837500000000002
91,2017-03-21 04:00:00+00:00,-7.0,103.7,11.3,369.0,31.2,2017-03-21 05:00:00+00:00,10.266666666666667,24.698333333333334,367.06666666666666,1.0,-7.0,104.79999999999997,2017-03-21 04:00:00+00:00,1,0.0,1.099999999999966,24.698333333333334,10.266666666666667
92,2017-03-21 05:00:00+00:00,-7.0,103.7,10.1,375.0,40.2,2017-03-21 06:00:00+00:00,12.307142857142853,26.92571428571429,363.38571428571424,1.0,-7.0,104.79999999999997,2017-03-21 05:00:00+00:00,1,0.0,1.099999999999966,26.92571428571429,12.307142857142853
93,2017-03-21 06:00:00+00:00,-7.0,103.8,12.5,375.0,36.3,2017-03-21 07:00:00+00:00,14.829999999999997,17.135,395.0166666666667,1.0,-7.0,104.79999999999997,2017-03-21 06:00:00+00:00,1,0.0,0.9999999999999716,17.135,14.829999999999997
94,2017-03-21 07:00:00+00:00,-7.0,103.8,14.9,410.0,19.1,2017-03-21 08:00:00+00:00,13.81142857142857,12.868571428571427,457.67142857142863,1.0,-7.0,104.79999999999997,2017-03-21 07:00:00+00:00,1,0.0,0.9999999999999716,12.868571428571427,13.81142857142857
95,2017-03-21 08:00:00+00:00,-7.0,103.9,15.0,470.0,11.5,2017-03-21 09:00:00+00:00,11.886666666666668,12.103333333333333,458.0333333333335,1.0,-7.0,104.79999999999997,2017-03-21 08:00:00+00:00,1,0.0,0.899999999999963,12.103333333333333,11.886666666666668
96,2017-03-21 09:00:00+00:00,-7.0,103.9,12.2,459.0,12.5,2017-03-21 10:00:00+00:00,11.881428571428572,12.718571428571426,494.42857142857144,1.0,-7.0,104.79999999999997,2017-03-21 09:00:00+00:00,1,0.0,0.899999999999963,12.718571428571426,11.881428571428572
