EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,Dist2Sun_AU,HGI_LAT_deg,HGI_LONG_deg,SW_FLOW_SPEED_km_s,SW_PROTON_DENS_protons_cm3
 1973-02-10T17:00:00.000Z,3.62,3.5,222.7,400.5,0.1257
 1973-02-10T18:00:00.000Z,3.62,3.5,222.8,396.3,0.1773
 1973-02-10T19:00:00.000Z,3.62,3.5,222.8,385.5,0.2005
 1973-02-10T20:00:00.000Z,3.62,3.5,222.7,385.3,0.1988
 1973-02-10T21:00:00.000Z,3.62,3.5,222.7,385.1,0.189
 1973-02-10T22:00:00.000Z,3.62,3.5,222.7,387.7,0.1733
 1973-02-10T23:00:00.000Z,3.62,3.5,222.7,392.1,0.1464
 1973-02-11T00:00:00.000Z,3.62,3.5,222.7,389.8,0.2194
 1973-02-11T01:00:00.000Z,3.62,3.5,222.7,393.3,0.1981
 1973-02-11T02:00:00.000Z,3.62,3.5,222.8,-1.00E+31,-1.00E+31
 1973-02-11T03:00:00.000Z,3.62,3.5,222.8,-1.00E+31,-1.00E+31
 1973-02-11T04:00:00.000Z,3.62,3.5,222.8,-1.00E+31,-1.00E+31
 1973-02-11T05:00:00.000Z,3.62,3.5,222.8,389.6,0.1449
 1973-02-11T06:00:00.000Z,3.62,3.5,222.8,-1.00E+31,-1.00E+31
 1973-02-11T07:00:00.000Z,3.62,3.5,222.7,388.3,0.1955
 1973-02-11T08:00:00.000Z,3.62,3.5,222.7,387,0.182
 1973-02-11T09:00:00.000Z,3.62,3.5,222.7,389.8,0.1022
 1973-02-11T10:00:00.000Z,3.62,3.5,222.8,-1.00E+31,-1.00E+31
 1973-02-11T11:00:00.000Z,3.62,3.5,222.8,387.8,0.1525
 1973-02-11T12:00:00.000Z,3.62,3.5,222.8,382.4,0.1752
 1973-02-11T13:00:00.000Z,3.62,3.5,222.8,384.9,0.2114
 1973-02-11T14:00:00.000Z,3.62,3.5,222.8,385.8,0.2323
 1973-02-11T15:00:00.000Z,3.62,3.5,222.8,379,0.3093
 1973-02-11T16:00:00.000Z,3.62,3.5,222.8,377.4,0.2751
 1973-02-11T17:00:00.000Z,3.62,3.5,222.9,-1.00E+31,-1.00E+31
 1973-02-11T18:00:00.000Z,3.62,3.5,222.8,379.3,0.3186
 1973-02-11T19:00:00.000Z,3.62,3.5,222.8,378.9,0.2709
