EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ARTEMIS_DIST_AU,ARTEMIS_LAT_DEG,ARTEMIS_LONG_DEG
 2018-11-08T00:00:00.000Z,0.99,3.7,329.7
 2018-11-09T00:00:00.000Z,0.99,3.6,330.7
 2018-11-10T00:00:00.000Z,0.99,3.5,331.6
 2018-11-11T00:00:00.000Z,0.99,3.3,332.6
 2018-11-12T00:00:00.000Z,0.99,3.2,333.6
 2018-11-13T00:00:00.000Z,0.99,3.1,334.6
 2018-11-14T00:00:00.000Z,0.99,3,335.5
 2018-11-15T00:00:00.000Z,0.99,2.9,336.5
 2018-11-16T00:00:00.000Z,0.99,2.8,337.5
 2018-11-17T00:00:00.000Z,0.99,2.6,338.6
 2018-11-18T00:00:00.000Z,0.99,2.5,339.6
 2018-11-19T00:00:00.000Z,0.99,2.4,340.6
 2018-11-20T00:00:00.000Z,0.99,2.3,341.6
 2018-11-21T00:00:00.000Z,0.99,2.1,342.6
 2018-11-22T00:00:00.000Z,0.99,2,343.7
 2018-11-23T00:00:00.000Z,0.99,1.9,344.7
 2018-11-24T00:00:00.000Z,0.99,1.8,345.7
 2018-11-25T00:00:00.000Z,0.99,1.6,346.8
 2018-11-26T00:00:00.000Z,0.99,1.5,347.8
 2018-11-27T00:00:00.000Z,0.99,1.4,348.8
 2018-11-28T00:00:00.000Z,0.99,1.3,349.9
 2018-11-29T00:00:00.000Z,0.99,1.1,350.9
 2018-11-30T00:00:00.000Z,0.99,1,351.9
 2018-12-01T00:00:00.000Z,0.99,0.9,352.9
 2018-12-02T00:00:00.000Z,0.98,0.8,353.9
 2018-12-03T00:00:00.000Z,0.98,0.7,354.9
 2018-12-04T00:00:00.000Z,0.98,0.5,355.9
 2018-12-05T00:00:00.000Z,0.98,0.4,356.9
 2018-12-06T00:00:00.000Z,0.98,0.3,357.8
 2018-12-07T00:00:00.000Z,0.98,0.2,358.8
 2018-12-08T00:00:00.000Z,0.98,0,359.8
 2018-12-09T00:00:00.000Z,0.98,-0.1,0.8
 2018-12-10T00:00:00.000Z,0.98,-0.2,1.7
 2018-12-11T00:00:00.000Z,0.98,-0.4,2.7
 2018-12-12T00:00:00.000Z,0.98,-0.5,3.7
 2018-12-13T00:00:00.000Z,0.98,-0.6,4.7
 2018-12-14T00:00:00.000Z,0.98,-0.7,5.7
 2018-12-15T00:00:00.000Z,0.98,-0.9,6.7
 2018-12-16T00:00:00.000Z,0.98,-1,7.7
 2018-12-17T00:00:00.000Z,0.98,-1.1,8.7
