EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,OMNI_HGI_LAT_deg,OMNI_HGI_LON_deg,OMNI_speed_km_s,OMNI_density_n_cc
 1973-02-17T12:00:00.000Z,-6.9,72.8,423,6.2
 1973-02-17T13:00:00.000Z,-6.9,72.8,414,6.2
 1973-02-17T14:00:00.000Z,-6.9,72.9,412,6.5
 1973-02-17T15:00:00.000Z,-6.9,72.9,413,6.7
 1973-02-17T16:00:00.000Z,-6.9,73,424,6.8
 1973-02-17T17:00:00.000Z,-6.9,73,429,6.7
 1973-02-17T18:00:00.000Z,-6.9,73.1,421,6.2
 1973-02-17T19:00:00.000Z,-6.9,73.1,412,5.7
 1973-02-17T20:00:00.000Z,-6.9,73.1,404,5.8
 1973-02-17T21:00:00.000Z,-6.9,73.2,410,5.5
 1973-02-17T22:00:00.000Z,-6.9,73.2,407,6.2
 1973-02-17T23:00:00.000Z,-6.9,73.3,407,6.5
 1973-02-18T00:00:00.000Z,-6.9,73.3,418,6.7
 1973-02-18T01:00:00.000Z,-6.9,73.4,413,6.6
 1973-02-18T02:00:00.000Z,-7,73.4,418,6.6
 1973-02-18T03:00:00.000Z,-7,73.4,413,6.1
 1973-02-18T04:00:00.000Z,-7,73.5,404,5.8
 1973-02-18T05:00:00.000Z,-7,73.5,394,6.7
 1973-02-18T06:00:00.000Z,-7,73.6,383,6.4
 1973-02-18T07:00:00.000Z,-7,73.6,385,6.8
 1973-02-18T08:00:00.000Z,-7,73.6,391,8.1
 1973-02-18T09:00:00.000Z,-7,73.7,391,7.9
 1973-02-18T10:00:00.000Z,-7,73.7,375,6.9
 1973-02-18T11:00:00.000Z,-7,73.8,373,7.6
 1973-02-18T12:00:00.000Z,-7,73.8,371,7.1
 1973-02-18T13:00:00.000Z,-7,73.9,372,6.8
 1973-02-18T14:00:00.000Z,-7,73.9,375,6.7
 1973-02-18T15:00:00.000Z,-7,73.9,373,7.8
 1973-02-18T16:00:00.000Z,-7,74,373,7.6
 1973-02-18T17:00:00.000Z,-7,74,370,8.6
 1973-02-18T18:00:00.000Z,-7,74.1,368,9.3
 1973-02-18T19:00:00.000Z,-7,74.1,372,10.5
 1973-02-18T20:00:00.000Z,-7,74.2,385,9
 1973-02-18T21:00:00.000Z,-7,74.2,381,9.7
 1973-02-18T22:00:00.000Z,-7,74.2,378,8.5
 1973-02-18T23:00:00.000Z,-7,74.3,384,9
 1973-02-19T00:00:00.000Z,-7,74.3,375,9.4
 1973-02-19T01:00:00.000Z,-7,74.4,376,10.2
 1973-02-19T02:00:00.000Z,-7,74.4,380,9.8
 1973-02-19T03:00:00.000Z,-7,74.5,374,9.7
 1973-02-19T04:00:00.000Z,-7,74.5,369,11.3
 1973-02-19T05:00:00.000Z,-7,74.5,376,10.1
 1973-02-19T06:00:00.000Z,-7,74.6,379,10.7
 1973-02-19T07:00:00.000Z,-7,74.6,379,11.1
 1973-02-19T08:00:00.000Z,-7,74.7,375,11
 1973-02-19T09:00:00.000Z,-7,74.7,378,11.3
 1973-02-19T10:00:00.000Z,-7,74.7,379,10.8
 1973-02-19T11:00:00.000Z,-7,74.8,378,10.1
 1973-02-19T12:00:00.000Z,-7,74.8,376,9.8
 1973-02-19T13:00:00.000Z,-7,74.9,381,10.6
 1973-02-19T14:00:00.000Z,-7,74.9,393,11.8
 1973-02-19T15:00:00.000Z,-7,75,391,10.4
 1973-02-19T16:00:00.000Z,-7,75,396,9.6
 1973-02-19T17:00:00.000Z,-7,75,-1.00E+31,-1.00E+31
 1973-02-19T18:00:00.000Z,-7,75.1,-1.00E+31,-1.00E+31
 1973-02-19T19:00:00.000Z,-7,75.1,-1.00E+31,-1.00E+31
 1973-02-19T20:00:00.000Z,-7,75.2,-1.00E+31,-1.00E+31
 1973-02-19T21:00:00.000Z,-7,75.2,-1.00E+31,-1.00E+31
 1973-02-19T22:00:00.000Z,-7,75.3,-1.00E+31,-1.00E+31
 1973-02-19T23:00:00.000Z,-7,75.3,-1.00E+31,-1.00E+31
 1973-02-20T00:00:00.000Z,-7,75.3,-1.00E+31,-1.00E+31
 1973-02-20T01:00:00.000Z,-7,75.4,-1.00E+31,-1.00E+31
 1973-02-20T02:00:00.000Z,-7,75.4,-1.00E+31,-1.00E+31
 1973-02-20T03:00:00.000Z,-7,75.5,-1.00E+31,-1.00E+31
 1973-02-20T04:00:00.000Z,-7,75.5,-1.00E+31,-1.00E+31
 1973-02-20T05:00:00.000Z,-7,75.6,-1.00E+31,-1.00E+31
 1973-02-20T06:00:00.000Z,-7,75.6,-1.00E+31,-1.00E+31
 1973-02-20T07:00:00.000Z,-7,75.6,-1.00E+31,-1.00E+31
 1973-02-20T08:00:00.000Z,-7,75.7,-1.00E+31,-1.00E+31
 1973-02-20T09:00:00.000Z,-7,75.7,-1.00E+31,-1.00E+31
 1973-02-20T10:00:00.000Z,-7,75.8,-1.00E+31,-1.00E+31
 1973-02-20T11:00:00.000Z,-7,75.8,-1.00E+31,-1.00E+31
 1973-02-20T12:00:00.000Z,-7,75.8,-1.00E+31,-1.00E+31
 1973-02-20T13:00:00.000Z,-7,75.9,-1.00E+31,-1.00E+31
 1973-02-20T14:00:00.000Z,-7,75.9,405,8.4
 1973-02-20T15:00:00.000Z,-7,76,398,8.2
 1973-02-20T16:00:00.000Z,-7,76,397,8.1
 1973-02-20T17:00:00.000Z,-7,76.1,398,7.3
 1973-02-20T18:00:00.000Z,-7,76.1,408,8.5
 1973-02-20T19:00:00.000Z,-7,76.1,419,9.1
 1973-02-20T20:00:00.000Z,-7,76.2,408,9.8
 1973-02-20T21:00:00.000Z,-7,76.2,418,11
 1973-02-20T22:00:00.000Z,-7,76.3,404,10.4
 1973-02-20T23:00:00.000Z,-7,76.3,383,10.8
 1973-02-21T00:00:00.000Z,-7,76.4,395,11
 1973-02-21T01:00:00.000Z,-7,76.4,420,11.8
 1973-02-21T02:00:00.000Z,-7,76.4,421,12.7
 1973-02-21T03:00:00.000Z,-7.1,76.5,414,13
 1973-02-21T04:00:00.000Z,-7.1,76.5,422,11.5
 1973-02-21T05:00:00.000Z,-7.1,76.6,424,12.4
 1973-02-21T06:00:00.000Z,-7.1,76.6,408,11.8
 1973-02-21T07:00:00.000Z,-7.1,76.6,401,10.4
 1973-02-21T08:00:00.000Z,-7.1,76.7,405,10.7
 1973-02-21T09:00:00.000Z,-7.1,76.7,407,10.5
 1973-02-21T10:00:00.000Z,-7.1,76.8,419,11
 1973-02-21T11:00:00.000Z,-7.1,76.8,421,11.8
 1973-02-21T12:00:00.000Z,-7.1,76.9,426,13.1
 1973-02-21T13:00:00.000Z,-7.1,76.9,440,13.3
 1973-02-21T14:00:00.000Z,-7.1,76.9,433,12.8
 1973-02-21T15:00:00.000Z,-7.1,77,448,9.5
 1973-02-21T16:00:00.000Z,-7.1,77,481,8
 1973-02-21T17:00:00.000Z,-7.1,77.1,508,6.8
 1973-02-21T18:00:00.000Z,-7.1,77.1,545,7.4
 1973-02-21T19:00:00.000Z,-7.1,77.2,570,7.9
 1973-02-21T20:00:00.000Z,-7.1,77.2,568,8
 1973-02-21T21:00:00.000Z,-7.1,77.2,538,8.5
 1973-02-21T22:00:00.000Z,-7.1,77.3,518,9.5
 1973-02-21T23:00:00.000Z,-7.1,77.3,502,9.1
 1973-02-22T00:00:00.000Z,-7.1,77.4,522,10.2
 1973-02-22T01:00:00.000Z,-7.1,77.4,484,8.9
 1973-02-22T02:00:00.000Z,-7.1,77.5,495,9
 1973-02-22T03:00:00.000Z,-7.1,77.5,495,9.5
 1973-02-22T04:00:00.000Z,-7.1,77.5,481,9
 1973-02-22T05:00:00.000Z,-7.1,77.6,475,8
 1973-02-22T06:00:00.000Z,-7.1,77.6,486,7.2
